Text,Label,Notes
"Why is an artist's music often perceived as ""cheapened"" by having a predominantly teenage female fanbase? Why do people treat an artist's music as less valuable simply because it's popular among teenage girls? I've noticed that for many artists, the moment a predominantly teenage female fanbase becomes associated with them, people start dismissing the music itself, as though the audience somehow reduces the artistic value of the work. What I find particularly strange is the assumption that teenage girls liking something is evidence against its quality. Teenagers often experience emotions very intensely and tend to form deep personal connections with music. If a piece of music resonates strongly with a demographic that is actively seeking emotional expression, why is that treated as a sign that the music is shallow, rather than a sign that it has connected with its audience? Why are teenage girls' preferences so often used as a metric for judging the worth of music? (Before anyone wonders — Yes, I am a 19 year old female. And no, I am neither a Swiftie, nor a K-pop fan.) The funniest part of this thread is that a surprising number of people seem convinced I'm secretly trying to defend my own music taste. I explicitly stated that I'm not a fan of those artists because I foresaw exactly this happening: a crowd of people rushing in to explain why the artists are bad, while completely sidestepping the point I was trying to discuss. What's especially ironic is that my own music taste is quite far removed from the mainstream pop music and fandoms that people keep assuming I'm talking about. The reality is that my personal taste has very little to do with the question. Even if I listened exclusively to music that fell completely outside the stereotypes people associate with teenage girls, I'd still be asking the same thing: Why is ""teenage girls like it"" so often used as evidence that something is artistically inferior? At times it feels like people are arguing with a stereotype they've invented rather than the question I actually asked.",analysis,
"In my case it’s simply because it’s pop. Most music that’s disrespected is pop. It’s a generalization, but ‘teenage girls like it’ and ‘pop’ are synonymous in many people’s minds. I don’t think most people dislike it because teenage girls like it. People would dislike it anyway.",analysis,
"The irony is that a lot of the music targeted towards angsty male teenagers is treated like some exalted deep art. my reaction to a lot of that music is that it’s affected and sophomoric. What’s worse, a lot of adults who listened to it still haven’t “grown up” in the way that they imply enjoyers of pop music should.",hot_take,
Because patriarchy hates women. Don’t worry about all the long-winded explanations.,hot_take,
"Is it just me or has that kinda cooled down a bit? It seems like the whole ""FUCK BOY BANDS"", ""FUCK JUSTIN BIEBER"", ""FUCK BRITNEY SPEARS"" thing that was very common from 1997-2012 isn't much a thing for today. You don't seem to see K Pop acts or Harry Styles or Sabrina Carpenter or Olivia Rodrigo get the same kind of bashing. Even Taylor Swift gets classes on her lyrics.",analysis,
"We don't live in a monoculture any more; no-one has to sit listening to pop radio on the school bus, see boy bands dancing on Saturday morning TV waiting for the cartoons to come on, or wade through the videos they hate on MTV to see the ones they love.",analysis,
"True, they're more avoidable than ever, unless you work in retail.",anecdote,
"That's because at one point, straight boys actually made up a material part of pop fandom. As they have moved into other media like YT and gaming, they've basically abandoned mainstream pop. Criticizing music they don't even engage with doesn't even occur to them.",analysis,
"I'm a straight guy who hated boy bands and Britney Spears and I don't hate Taylor Swift or Sabrina Carpenter. Taylor Swift is a songwriter, Carpenter too I hear. They play instruments and write music. They're not comparable to 100% industry products like boy bands and Britney. You're right that popular culture fragmentation means people aren't stuck with things they don't like, but for the record, Taylor Swift would have been the most authentic thing on TRL.",analysis,
"Britney was an A tier entertainer though. Her dance style is super iconic. TS can't dance or hold a stage well at all without tremendous external resource. But yeah hers was pretty mindless dance music. Personally I think Beyoncé and Rihanna are loads more interesting than TS, Eilish and Carpenter. But I'm not the target audience so they don't really care what I think.",analysis,
